Risk_factor/complication,Gene_symbol,Gene_ID,Gene_name,Gene_aliases,Chromosome,HomoloGene ID
Stress,NFE2L2,4780,"nuclear factor, eryt",NRF2 HEBP1,2,2412
Stress,NGF,4803,nerve growth factor ,NGFB HSAN5 Beta-NGF,1,1876
Stress,NGFR,4804,nerve growth factor ,CD271 p75NTR TNFRSF16 p75(NTR) Gp80-LNGFR,17,1877
Stress,NOS1,4842,nitric oxide synthas,NOS bNOS nNOS IHPS1 N-NOS NC-NOS,12,37327
Stress,NOS3,4846,nitric oxide synthas,eNOS ECNOS,7,504
Stress,PON1,5444,paraoxonase 1,ESA PON MVCD5,7,68058
Stress,PRKG1,5592,"protein kinase, cGMP",PKG cGK AAT8 cGK1 cGKI cGK 1 PRKG1B PRKGR1B cGKI-B,10,55964
Stress,PTGS2,5743,prostaglandin-endope,COX2 COX-2 PHS-2 PGG/HS PGHS-2 hCox-2 GRIPGHS,1,31000
Stress,RPS6KA6,27330,ribosomal protein S6,RSK4 PP90RSK4,X,22816
Stress,SERPINF1,5176,serpin peptidase inh,OI6 OI12 PEDF EPC-1 PIG35,17,1965
Stress,SLC2A3,6515,solute carrier famil,GLUT3,12,74302
Stress,SLC2A4,6517,solute carrier famil,GLUT4,17,74381
Stress,SOD2,6648,superoxide dismutase,IPOB MNSOD MVCD6,6,530
Stress,SREBF1,6720,sterol regulatory el,SREBP1 bHLHd1 SREBP-1c,17,3079
Stress,TH,7054,tyrosine hydroxylase,"TYH, DYT14, DYT5b",11,307
Stress,TLR4,7099,toll-like receptor 4,TOLL CD284 TLR-4 ARMD10,9,41317
Stress,TNF,7124,tumor necrosis facto,DIF TNFA TNFSF2 TNF-alpha,6,496
Stress,TNFRSF11B,4982,tumor necrosis facto,OPG TR1 OCIF PDB5,8,1912
Stress,TRPV1,7442,transient receptor p,VR1,17,12920
Stress,TSPO,706,translocator protein,DBI IBP MBR PBR PBS BPBS BZRP PKBS PTBR mDRC pk18,22,574
Stress,UCP2,7351,uncoupling protein 2,UCPH BMIQ4 SLC25A8,11,2516
Stress,VEGFA,7422,vascular endothelial,VPF VEGF MVCD1,6,2534
Stress,VIP,7432,vasoactive intestina,PHM27,6,2539
Stress,XIAP,331,X-linked inhibitor o,API3 ILP1 MIHA XLP2 BIRC4 IAP-3 hIAP3 hIAP-3,X,901
