Risk_factor/complication,Gene_symbol,Gene_ID,Gene_name,Gene_aliases,Chromosome,HomoloGene ID
Retinopathy,CCL2,6347,chemokine (C-C motif,"HC11,MCAF,MCP1,MCP-1,SCYA2,
GDCF-2,SMC-CF,HSMCR30",17,2245
Retinopathy,CRP,1401,"C-reactive protein, ",PTX1,1,128039
Retinopathy,IL1B,3553,"interleukin 1, beta","IL-1,IL1F2,IL1-BETA",2,481
Retinopathy,IL6,3569,interleukin 6,"HGF,HSF,BSF2,IL-6,IFNB2",7,502
Retinopathy,PPARG,5468,peroxisome prolifera,"GLM1,CIMT1,NR1C3,PPARG1,
PPARG2,PPARgamma
",3,7899
Retinopathy,SIRT1,23411,sirtuin 1,SIR2L1,10,56556
Retinopathy,SOCS3,9021,suppressor of cytoki,"CIS3,SSI3,ATOD4,Cish3,SSI-3,SOCS-3",17,2941
Retinopathy,SOD2,6648,superoxide dismutase,"IPOB,MNSOD,MVCD6",6,530
Retinopathy,TLR4,7099,toll-like receptor 4,"TOLL,CD284,TLR-4,ARMD10",9,41317
Retinopathy,TNF,7124,tumor necrosis facto,"DIF,TNFA,TNFSF2,TNF-alpha",6,496
Retinopathy,UCP1,7350,uncoupling protein 1,"UCP,SLC25A7",4,22524
Retinopathy,UCP2,7351,uncoupling protein 2,"UCPH,BMIQ4,SLC25A8",11,2516
