Risk_factor/complication,Gene_symbol,Gene_ID,Gene_name,Gene_aliases,Chromosome,HomoloGene ID
Inflammation,1649,DDIT3,DNA damage inducible transcript 3,CHOP CEBPZ CHOP10 CHOP-10 GADD153,12,3012
Inflammation,22943,DKK1,dickkopf WNT signaling pathway inhibitor 1,SK DKK-1,10,7689
Inflammation,1803,DPP4,dipeptidyl-peptidase 4,CD26 ADABP ADCP2 DPPIV TP103,2,3279
Inflammation,1909,EDNRA,endothelin receptor type A,ETA ET-A ETAR ETRA MFDA ETA-R hET-AR,4,1478
Inflammation,1956,EGFR,epidermal growth factor receptor,ERBB HER1 mENA ERBB1 PIG61 NISBD2,7,74545
Inflammation,9451,EIF2AK3,eukaryotic translation initiation factor 2-alpha kinase 3,PEK WRS PERK,2,3557
Inflammation,5167,ENPP1,ectonucleotide pyrophosphatase/phosphodiesterase 1,M6S1 NPP1 NPPS PC-1 PCA1 ARHR2 COLED PDNP1,6,38151
Inflammation,953,ENTPD1,ectonucleoside triphosphate diphosphohydrolase 1,CD39 SPG64 ATPDase NTPDase-1,10,20423
Inflammation,2056,EPO,erythropoietin,EP MVCD2,7,624
Inflammation,90952,ESAM,endothelial cell adhesion molecule,W117m,11,12316
Inflammation,2149,F2R,coagulation factor II (thrombin) receptor,TR HTR CF2R PAR1 PAR-1,5,1510
Inflammation,2168,FABP1,"fatty acid binding protein 1, liver",FABPL L-FABP,2,1106
Inflammation,2167,FABP4,"fatty acid binding protein 4, adipocyte",aP2 ALBP AFABP A-FABP HEL-S-104,8,36067
Inflammation,26291,FGF21,fibroblast growth factor 21,,19,10428
Inflammation,252995,FNDC5,fibronectin type III domain containing 5,FRCP2 irisin,1,17812
Inflammation,2353,FOS,FBJ murine osteosarcoma viral oncogene homolog,p55 AP-1 C-FOS,14,3844
Inflammation,79068,FTO,fat mass and Obesity associated,GDFD ALKBH9,16,8053
Inflammation,2539,G6PD,glucose-6-phosphate dehydrogenase,G6PD1,X,37906
Inflammation,2571,GAD1,glutamate decarboxylase 1,GAD SCP CPSQ1,2,635
Inflammation,2641,GCG,glucagon,"GLP1,GLP2,GRPP",2,136497
Inflammation,2645,GCK,glucokinase,"GK,  GLK,  HK4,  HHF3,  HKIV,  HXKP,  LGLK,  MODY2,  FGQTL3",7,55440
Inflammation,2678,GGT1,gamma-glutamyltransferase 1,GGT GTG CD224 GGT 1 D22S672 D22S732,22,68450
Inflammation,728441,GGT2,gamma-glutamyltransferase 2,GGT GGT 2,22,139965
Inflammation,51738,GHRL,ghrelin/obestatin prepropeptide,MTLRP,3,9487
Inflammation,2693,GHSR,growth hormone secretagogue receptor,GHDP,3,57161
Inflammation,2944,GSTM1,glutathione S-transferase mu 1,MU H-B GST1 GTH4 GTM1 MU-1 GSTM1-1 GSTM1a-1a GSTM1b-1b,1,121492
Inflammation,2952,GSTT1,glutathione S-transferase theta 1,,22,134739
Inflammation,3082,HGF,hepatocyte growth factor (hepapoietin A; scatter factor),"SF,  HGFB,  HPTA,  F-TCF,  DFNB39",7,503
Inflammation,3146,HMGB1,high mobility group box 1,HMG1 HMG3 HMG-1 SBP-1,13,110676
Inflammation,6927,HNF1A,HNF1 homeobox A,HNF1 LFB1 TCF1 MODY3 TCF-1 HNF-1A IDDM20,12,459
Inflammation,7190,HSP90B2P,"heat shock protein 90kDa beta family member 2, pseudogene",HSP TRAP1 GRP94b HSPCP2 TRA1P1 GRP94P1,15,NA
Inflammation,3309,HSPA5,heat shock protein family A (Hsp70) member 5,BIP MIF2 GRP78 HEL-S-89n,9,3908
Inflammation,3458,IFNG,"interferon, gamma",IFG IFI,12,55526
Inflammation,3479,IGF1,insulin like growth factor 1,MGF IGFI IGF-I,12,515
Inflammation,3481,IGF2,insulin like growth factor 2,GRDF IGF-II PP9974 C11orf43,11,510
Inflammation,3486,IGFBP3,insulin like growth factor binding protein 3,IBP3 BP-53,7,500
Inflammation,3586,IL10,interleukin 10,CSIF TGIF GVHDS IL-10 IL10A,1,478
Inflammation,3605,IL17A,interleukin 17A,"IL17,  CTLA8,  IL-17,  CTLA-8,  IL-17A",6,1651
Inflammation,3606,IL18,interleukin 18,IGIF IL-18 IL-1g IL1F4,11,1200
Inflammation,3553,IL1B,interleukin 1 beta,IL-1 IL1F2 IL1beta IL1-BETA,2,481
Inflammation,3557,IL1RN,interleukin 1 receptor antagonist,DIRA IRAP IL1F3 IL1RA MVCD4 IL-1RN IL-1ra IL-1ra3 ICIL-1RA,2,11163
Inflammation,3569,IL6,interleukin 6,CDF HGF HSF BSF2 IL-6 BSF-2 IFNB2 IFN-beta-2,7,502
Inflammation,8660,IRS2,insulin receptor substrate 2,IRS-2,13,2778
Inflammation,3684,ITGAM,integrin subunit alpha M,CR3A MO1A CD11B MAC-1 MAC1A SLEB6,16,526
Inflammation,3717,JAK2,Janus kinase 2,JTK10 THCYT3,9,21033
Inflammation,221895,JAZF1,JAZF zinc finger 1,TIP27 ZNF802,7,18291
Inflammation,1316,KLF6,Kruppel-like factor 6,GBF ZF9 BCD1 CBA1 CPBP PAC1 ST12 COPEB,10,996
Inflammation,3827,KNG1,kininogen 1,BK BDK KNG,3,88343
Inflammation,3913,LAMB2,laminin subunit beta 2,LAMS NPHS5,3,1723
Inflammation,4000,LMNA,lamin A/C,"FPL, IDC, LFP, CDDC, EMD2, FPLD, HGPS, LDP1, LMN1,",1,41321
Inflammation,4023,LPL,lipoprotein lipase,LIPD HDLCQ11,8,200
Inflammation,4049,LTA,lymphotoxin alpha,LT TNFB TNFSF1,6,497
Inflammation,10892,MALT1,MALT1 paracaspase,"MLT, MLT1, IMD12, PCASP1",18,4938
Inflammation,4217,MAP3K5,mitogen-activated protein kinase kinase kinase 5,"ASK1, MEKK5, MAPKKK5",6,38114
Inflammation,5594,MAPK1,mitogen-activated protein kinase 1,ERK p38 p40 p41 ERK2 ERT1 ERK-2 MAPK2 PRKM1 PRKM2 P42MAPK p41mapk p42-MAPK,22,37670
